DateTime,Open,High,Low,Close,HL
2006-07-14 04:15:00,16152,16161,16146,16157,Day High
2006-07-17 02:00:00,16068,16074,15947,15959,Day Low
2006-07-17 07:24:00,16100,16104,16095,16096,Day High
2006-07-17 07:25:00,16093,16104,16088,16088,Day High
2006-07-18 03:17:00,16109,16110,16106,16110,Day High
2006-07-18 06:47:00,15985,15985,15967,15967,Day Low
2006-07-18 06:56:00,15981,15981,15967,15971,Day Low
2006-07-19 02:00:00,16059,16092,16059,16092,Day Low
2006-07-19 02:42:00,16164,16171,16164,16171,Day High
2006-07-19 02:43:00,16171,16171,16169,16169,Day High
2006-07-20 02:00:00,16288,16429,16288,16429,Day Low
2006-07-20 07:59:00,16479,16486,16454,16475,Day High
2006-07-21 02:03:00,16381,16383,16376,16383,Day Low
2006-07-21 07:06:00,16483,16486,16477,16477,Day High
2006-07-24 02:05:00,16359,16359,16354,16355,Day Low
2006-07-24 02:06:00,16354,16362,16354,16359,Day Low
2006-07-24 02:08:00,16354,16355,16354,16354,Day Low
2006-07-24 07:59:00,16470,16495,16470,16485,Day High
2006-07-25 03:30:00,16662,16670,16662,16666,Day High
2006-07-25 06:58:00,16670,16670,16663,16663,Day High
2006-07-25 07:58:00,16580,16591,16580,16588,Day Low
2006-07-26 02:26:00,16571,16571,16566,16566,Day Low
2006-07-26 07:58:00,16618,16638,16613,16618,Day High
2006-07-27 02:00:00,16652,16747,16647,16731,Day Low
2006-07-27 07:40:00,16934,16939,16915,16916,Day High
2006-07-28 02:00:00,16920,16939,16918,16933,Day Low
2006-07-28 02:41:00,17031,17035,17031,17035,Day High
2006-07-28 03:06:00,16928,16928,16918,16921,Day Low
2006-07-31 02:02:00,17108,17118,17105,17107,Day High
2006-07-31 07:59:00,16970,16984,16963,16982,Day Low
2006-08-01 02:00:00,17024,17024,16970,16979,Day High
2006-08-01 07:57:00,16911,16924,16903,16921,Day Low
2006-08-02 04:29:00,16867,16867,16867,16867,Day High
2006-08-02 04:29:00,16867,16867,16867,16867,Day Low
2006-08-03 02:00:00,17038,17056,16996,17039,Day Low
2006-08-03 02:16:00,17097,17097,17089,17089,Day High
2006-08-04 02:13:00,17097,17097,17090,17090,Day High
2006-08-04 02:14:00,17094,17097,17092,17092,Day High
2006-08-04 02:15:00,17094,17097,17093,17093,Day High
2006-08-04 07:58:00,16871,16879,16866,16877,Day Low
2006-08-07 06:40:00,16815,16819,16812,16812,Day Low
2006-08-07 07:54:00,16956,16968,16949,16963,Day High
2006-08-08 02:00:00,16982,17055,16982,17055,Day Low
2006-08-08 07:20:00,17054,17065,17050,17050,Day High
2006-08-09 02:04:00,16959,16968,16959,16962,Day Low
2006-08-09 07:59:00,17344,17355,17343,17349,Day High
2006-08-10 02:06:00,17338,17350,17336,17337,Day High
2006-08-10 07:58:00,17220,17224,17206,17213,Day Low
2006-08-11 03:17:00,17321,17324,17318,17319,Day High
2006-08-11 07:54:00,17212,17218,17211,17215,Day Low
2006-08-11 07:56:00,17216,17218,17211,17218,Day Low
2006-08-14 03:11:00,17221,17222,17216,17222,Day Low
2006-08-14 07:26:00,17302,17311,17286,17296,Day High
2006-08-15 02:25:00,17295,17295,17292,17292,Day High
2006-08-15 03:38:00,17249,17249,17243,17243,Day Low
2006-08-16 02:00:00,17305,17406,17305,17383,Day Low
2006-08-16 06:59:00,17469,17476,17469,17476,Day High
2006-08-17 02:00:00,17533,17546,17478,17480,Day High
2006-08-17 07:49:00,17343,17344,17329,17333,Day Low
2006-08-18 02:28:00,17408,17414,17408,17413,Day High
2006-08-18 07:41:00,17318,17322,17316,17316,Day Low
2006-08-21 02:22:00,17330,17330,17323,17323,Day High
2006-08-21 07:57:00,17001,17004,16994,17000,Day Low
2006-08-21 07:58:00,17003,17008,16994,17008,Day Low
2006-08-22 02:41:00,17041,17041,17038,17038,Day Low
2006-08-22 02:42:00,17040,17041,17038,17041,Day Low
2006-08-22 07:59:00,17145,17164,17145,17148,Day High
2006-08-23 02:00:00,17170,17170,17101,17101,Day High
2006-08-23 02:11:00,17017,17017,17010,17015,Day Low
2006-08-23 02:12:00,17013,17015,17010,17013,Day Low
2006-08-24 02:00:00,17065,17065,16963,16963,Day High
2006-08-24 07:50:00,16872,16875,16870,16873,Day Low
2006-08-24 07:51:00,16870,16883,16870,16883,Day Low
2006-08-25 02:06:00,17001,17005,17001,17002,Day High
2006-08-25 06:34:00,16898,16901,16895,16895,Day Low
2006-08-28 02:43:00,16996,16999,16995,16995,Day High
2006-08-28 07:59:00,16919,16923,16908,16912,Day Low
2006-08-29 02:00:00,16925,16994,16925,16994,Day Low
2006-08-29 07:58:00,17101,17102,17097,17098,Day High
2006-08-30 02:00:00,17156,17164,17127,17141,Day Low
2006-08-30 07:59:00,17277,17296,17276,17296,Day High
2006-08-31 02:00:00,17304,17405,17304,17405,Day Low
2006-08-31 02:02:00,17414,17426,17414,17416,Day High
2006-09-01 02:48:00,17316,17316,17308,17308,Day Low
2006-09-01 04:01:00,17511,17514,17505,17505,Day High
2006-09-04 02:00:00,17433,17524,17433,17523,Day Low
2006-09-04 07:52:00,17518,17539,17513,17519,Day High
2006-09-05 02:00:00,17506,17518,17506,17516,Day High
2006-09-05 07:43:00,17405,17409,17404,17409,Day Low
2006-09-06 02:00:00,17434,17452,17428,17435,Day High
2006-09-06 07:12:00,17219,17219,17207,17213,Day Low
2006-09-07 02:00:00,17210,17210,17090,17090,Day High
2006-09-07 03:53:00,17044,17049,17044,17048,Day Low
2006-09-08 02:00:00,17060,17072,17056,17070,Day Low
2006-09-08 03:58:00,17172,17172,17162,17164,Day High
2006-09-11 02:00:00,17170,17170,17144,17154,Day High
2006-09-11 07:31:00,16938,16941,16927,16935,Day Low
2006-09-12 02:00:00,16918,16939,16915,16933,Day Low
2006-09-12 07:25:00,17118,17131,17118,17119,Day High
2006-09-13 02:00:00,17090,17207,17090,17205,Day Low
2006-09-13 02:04:00,17216,17237,17215,17236,Day High
2006-09-14 02:02:00,17279,17305,17277,17302,Day High
2006-09-14 03:53:00,17149,17151,17140,17144,Day Low
2006-09-15 02:00:00,17166,17177,17141,17171,Day Low
2006-09-15 07:59:00,17237,17249,17216,17233,Day High
2006-09-18 02:00:00,17241,17263,17235,17262,Day Low
2006-09-18 07:11:00,17420,17428,17414,17414,Day High
2006-09-19 03:11:00,17426,17426,17420,17420,Day High
2006-09-19 03:13:00,17421,17426,17421,17426,Day High
2006-09-19 03:14:00,17424,17426,17424,17426,Day High
2006-09-19 07:07:00,17314,17324,17314,17324,Day Low
2006-09-20 02:00:00,17270,17275,17222,17236,Day Low
2006-09-20 07:55:00,17520,17528,17518,17518,Day High
2006-09-21 02:00:00,17508,17565,17508,17539,Day Low
2006-09-21 02:12:00,17656,17665,17656,17665,Day High
2006-09-21 02:13:00,17662,17665,17658,17658,Day High
2006-09-22 03:01:00,17512,17518,17511,17516,Day Low
2006-09-22 07:13:00,17634,17639,17631,17637,Day High
2006-09-22 07:14:00,17634,17639,17634,17639,Day High
2006-09-25 02:01:00,17541,17544,17538,17544,Day Low
2006-09-25 04:07:00,17669,17688,17669,17680,Day High
2006-09-26 02:00:00,17595,17604,17582,17601,Day High
2006-09-26 07:07:00,17338,17339,17275,17278,Day Low
2006-09-27 03:57:00,17413,17413,17404,17404,Day Low
2006-09-27 03:58:00,17409,17410,17404,17410,Day Low
2006-09-27 07:42:00,17535,17542,17531,17536,Day High
2006-09-28 03:01:00,17510,17510,17505,17508,Day Low
2006-09-28 03:02:00,17505,17512,17505,17512,Day Low
2006-09-28 06:58:00,17599,17605,17599,17600,Day High
2006-09-28 06:59:00,17598,17605,17591,17605,Day High
2006-09-29 02:08:00,17582,17589,17582,17589,Day High
2006-09-29 02:09:00,17587,17589,17579,17580,Day High
2006-09-29 03:46:00,17351,17354,17350,17354,Day Low
2006-10-03 02:04:00,17437,17438,17426,17429,Day Low
2006-10-03 07:30:00,17636,17649,17632,17646,Day High
2006-10-04 06:31:00,17546,17547,17539,17542,Day Low
2006-10-04 07:47:00,17670,17680,17659,17669,Day High
2006-10-05 03:41:00,17808,17816,17808,17816,Day Low
2006-10-05 07:33:00,17922,17942,17922,17937,Day High
2006-10-06 03:49:00,17852,17852,17847,17850,Day Low
2006-10-06 07:03:00,17932,17932,17922,17922,Day High
2006-10-09 02:00:00,17898,17898,17836,17838,Day High
2006-10-09 02:54:00,17593,17603,17589,17602,Day Low
2006-10-10 02:00:00,17729,17762,17729,17747,Day Low
2006-10-10 07:05:00,17850,17856,17844,17850,Day High
2006-10-11 03:35:00,17741,17744,17738,17741,Day Low
2006-10-11 07:42:00,17866,17880,17864,17875,Day High
2006-10-12 02:06:00,17943,17950,17943,17944,Day High
2006-10-12 04:02:00,17842,17842,17836,17837,Day Low
2006-10-12 04:09:00,17843,17845,17836,17837,Day Low
2006-10-12 04:11:00,17836,17847,17836,17847,Day Low
2006-10-13 03:59:00,18059,18067,18059,18064,Day High
2006-10-13 07:55:00,17950,17955,17947,17954,Day Low
2006-10-16 02:00:00,17993,18071,17993,18067,Day High
2006-10-16 07:01:00,17962,17962,17958,17958,Day Low
2006-10-17 02:57:00,17851,17851,17822,17824,Day Low
2006-10-17 07:07:00,18053,18075,18050,18074,Day High
2006-10-18 02:03:00,17888,17888,17877,17882,Day Low
2006-10-18 07:59:00,18041,18052,18033,18049,Day High
2006-10-19 02:02:00,18076,18076,18065,18067,Day High
2006-10-19 06:49:00,17941,17947,17938,17944,Day Low
2006-10-20 02:00:00,17995,18034,17995,18034,Day Low
2006-10-20 07:14:00,18117,18148,18116,18140,Day High
2006-10-23 02:00:00,18189,18189,18150,18154,Day High
2006-10-23 07:07:00,18070,18080,18066,18080,Day Low
2006-10-23 07:42:00,18066,18076,18066,18073,Day Low
2006-10-24 02:00:00,18105,18132,18105,18131,Day Low
